,Credits,Departments,Description,Number,Title,Unique_ID
4927,3 Credit Hours.,ise,"Prerequisite: Computer Science 1313 or 1323, or permission of instructor. Covers an integrated set of software tools that is used in development of a wide variety of decision models and support systems. Students will learn Python programming language and several of its major libraries. Applications will be developed in data extraction and processing, and development of statistical, simulation, and optimization models. (Irreg.)",5123,Software Tools-Dec Support,ise-5123
4960,3 Credit Hours.,ise,"Prerequisite: 5623, 5643 or by permission. Develops the foundation of kernel methods and support vector machines and their computer implementations. Applications include current problems in financial engineering and data analysis (including building statistical learning models, managing risk, and solution of large scale machine learning problems), weather prediction, and computational biology. (Irreg.)",6673,Support Vector Machines,ise-6673
4966,1-6 Credit Hours.,ise,"1 to 6 hours. Prerequisite: graduate standing. May be repeated; maximum credit six hours. Special problems in the various fields of industrial and systems engineering. Special studies in data analytics, systems modeling and design, computational optimization, logistics and supply chain management, human-system integration, engineering education, advanced manufacturing, or biomedical manufacturing. (F, Sp, Su)",6990,Special Studies,ise-6990
5032,3 Credit Hours.,jmc,"Prerequisite: 1013, 2033, 3303. Introduction to concepts of research. Survey and use of secondary and primary data sources as basis for formulating basic advertising plans, including advertising and communications goals and objectives. (Sp)",3333,Advertising Research,jmc-3333
5047,3 Credit Hours.,jmc,"Prerequisite: 2033 and 3003. The history, theory and application of electronic news gathering techniques. Students learn to gather audiovisual information, evaluate it, edit it, and prepare the data for distribution through traditional and emerging news media. (F, Sp)",3663,Electronic News Gathering Techniques,jmc-3663
5048,3 Credit Hours.,jmc,"Prerequisite: 1013 and 2033. Interpretation of sales, market and media data used in making sales presentations on behalf of radio and television media. Emphasis is on creative use of these data regarding sales problems. (Irreg.)",3673,Radio-Television Sales,jmc-3673
5077,3 Credit Hours.,jmc,"(Slashlisted withJMC 5363) Prerequisite:JMC 1013andJMC 2033or permission from instructor. Introduction to the basic concepts and skills necessary to use numerical, statistical, geographical and survey data as a way of telling compelling fact-based stories. Stories may be used as news, strategic or narrative products. Data can be used in all of Gaylord fields from journalism to professional writing. Class builds skills in finding, cleaning, analyzing, interpreting and then using data. No student may earn credit for both 4363 and 5363. (F, Sp)",4363,Data Journalism,jmc-4363
5144,3 Credit Hours.,jmc,"(Slashlisted withJMC 4363) Prerequisite: Graduate standing. Introduction to the basic concepts and skills necessary to use numerical, statistical, geographical, and survey data as a way of telling compelling fact-based stories. Stories may be used as news and strategic or narrative products. Data can be used in all Gaylord fields from journalism to professional writing. Class builds skills in finding, cleaning, analyzing, interpreting, and then using data. No student may earn credit for both 4363 and 5363. (F, Sp)",5363,Data Journalism,jmc-5363
5185,3 Credit Hours.,jmc,Prerequisite: graduate standing and permission. Builds upon introductory methods courses and provides a conceptual and practical framework for using multivariate statistics in mass communication research. Explores the most effective and efficient methods of creating and improving quantitative measures. Emphasis on analyzing data and interpreting results. (Sp),6133,Advanced Quantitative Methods,jmc-6133
5203,3 Credit Hours.,l_a,"(Slashlisted withL A 5613) Prerequisite: junior standing or permission of instructor. A survey of computer applications common to the profession of landscape architecture including word processing, desktop publishing, computer image manipulation, computer-aided drafting, spreadsheets and databases with particular emphasis on computer image manipulation and computer-aided drafting. No student may earn credit for both 4613 and 5613. (F)",4613,Landscape Architecture Computer Applications,l_a-4613
5219,3 Credit Hours.,l_a,"(Slashlisted withL A 4613) Prerequisite: graduate standing and permission of instructor. A survey of computer applications common to the profession of landscape architecture including word processing, desktop publishing, computer image manipulation, computer-aided drafting, spreadsheets and databases with particular emphasis on computer image manipulation and computer-aided drafting. No student may earn credit for both 4613 and 5613. (F)",5613,Landscape Architecture Computer Applications,l_a-5613
5409,3 Credit Hours.,ling,"Prerequisite:LING 3033. Phonology is the study of sound patterns found in human language. Provides a grounding in phonological theory by examining data from several of the world's languages. Covers the phoneme-allophone distinction, distinctive features, feature re-write rules, and a broad sampling of phonological phenomena. (F)",3053,Phonology,ling-3053
5410,3 Credit Hours.,ling,"Prerequisite: 3033 or Anthropology 3033. This course covers techniques used to collect phonetic data, methodological concerns, the acoustic basis of speech sounds, how to record speech for linguistic analysis, and both acoustic and articulatory techniques for documenting the phonetic properties of speech.  (Irreg.)",3133,Phonetic Field Methods,ling-3133
5455,3 Credit Hours.,lis,"(Slashlisted withLIS 5523) Prerequisite: junior standing. Structure, content, and application of online databases for education, research, business, and public use. Principles and techniques for the evaluation of online databases and services. Document representation, information need specification and query formulation for online information retrieval. No student may earn credit for both 4523 and 5523. (F)",4523,Online Information Retrieval,lis-4523
5457,3 Credit Hours.,lis,(Slashlisted withLIS 5613) Prerequisite: junior or senior standing andLIS 4063. The interactive web design server interaction with special emphasis on database connectivity and application development on the internet. No student may earn credit for both 4613 and 5613.(F),4613,Dynamic Web Development,lis-4613
5458,3 Credit Hours.,lis,(Slashlisted withLIS 5623) Prerequisite: junior or senior standing. Data mining (DM) is the ability to discover useful patterns and relationships in large sets of data. DM is an induction-based set of computer-based methodologies to extract previously unknown patterns in data and can provide a way to both understand and predict behavior. No student may earn credit for both 4623 and 5623. (F),4623,Introduction to Data Mining for Information Professionals,lis-4623
5459,3 Credit Hours.,lis,"(Slashlisted withLIS 5633) Prerequisite: junior standing. Design fundamentals for web-based information services; information services; implementation of storage, access, and distribution systems; knowledge representation methods; metadata and information structures; connectivity infrastructure; characteristics and behavior of networked audiences; systems use and usability. No student may earn credit for both 4633 and 5633. (F)",4633,Design and Implementation of Web-based Information Services,lis-4633
5460,3 Credit Hours.,lis,"(Slashlisted withLIS 5643) Prerequisite:LIS 2003. Introduction to the theory and application of data analytics including various big data analytical tools and models, different forms of information, and statistical understanding of, and applications to, different big data methods and interpretation of statistics within the chosen model. No student may earn credit for both 4643 and 5643. (F)",4643,Introduction to Data Analytics,lis-4643
5462,3 Credit Hours.,lis,"(Slashlisted withLIS 5673) Prerequisite: junior or senior standing. Information visualization is becoming key to LIS, due to the growing need for visual literacy and to the growing demand for data resources in almost all disciplines. Covers basics of developing and evaluating information visualizations and the importance of data accuracy. No student may earn credit for both 4673 and 5673. (F)",4673,Introduction to Information Visualization,lis-4673
5463,3 Credit Hours.,lis,"(Slashlisted withLIS 5683) Prerequisite: junior standing. Introduction to the theory and application of database design including information storage and retrieval, data modeling, record structure, data normalization, data security, relational database models, query language, client-server systems, data warehousing and data mining. The social, technological and organizational needs in database design will be examined. No student may earn credit for both 4683 and 5683. (Sp)",4683,Database Design for Information Organizations,lis-4683
5472,3 Credit Hours.,lis,"Prerequisite: graduate standing andLIS 5033or concurrent enrollment. Organization of internal and external sources of information; information services and tools; basic concepts of information storage and retrieval systems; design and structure of information systems; identification and organization of knowledge resources such as expertise, skills and competencies; knowledge organization methods such as classification, cataloguing, taxonomies and metadata; search strategies and information retrieval. (F, Sp)",5043,Organization of Information and Knowledge Resources,lis-5043
5478,3 Credit Hours.,lis,"Prerequisite:LIS 5133or permission of instructor. An in-depth approach to the on-line databases supplied by the National Library of Medicine and to the biomedical databases supplied by commercial companies. Deals with all aspects of searching, including the development of effective policies and procedures. Differences and similarities among the databases are emphasized. (F)",5163,Biomedical Databases,lis-5163
5497,3 Credit Hours.,lis,"(Slashlisted withLIS 4523) Prerequisite:LIS 5033andLIS 5053. Structure, content, and application of online databases for education, research, business, and public use. Principles and techniques for the evaluation of online databases and services. Document representation, information need specification and query formulation for online information retrieval. No student may earn credit for both 4523 and 5523. (F)",5523,Online Information Retrieval,lis-5523
5501,3 Credit Hours.,lis,(Slashlisted withLIS 4613) Prerequisite: graduate standing and LIS 4603 or LIS 5603. The interactive web design server interaction with special emphasis on database connectivity and application development on the internet. No student may earn credit for both 4613 and 5613. (F),5613,Dynamic Web Development,lis-5613
5502,3 Credit Hours.,lis,(Slashlisted withLIS 4623) Prerequisite: graduate standing. Data mining (DM) is the ability to discover useful patterns and relationships in large sets of data. DM is an induction-based set of computer-based methodologies to extract previously unknown patterns in data and can provide a way to both understand and predict behavior. No student may earn credit for both 4623 and 5623.(F),5623,Introduction to Data Mining for Information Professionals,lis-5623
5503,3 Credit Hours.,lis,"(Slashlisted withLIS 4633) Prerequisite:LIS 5033. Design fundamentals for web-based information services; information services; implementation of storage, access, and distribution systems; knowledge representation methods; metadata and information structures; connectivity infrastructure; characteristics and behavior of networked audiences; systems use and usability. No student may earn credit for bothLIS 4633andLIS 5633. (F)",5633,Design and Implementation of Web-based Information Services,lis-5633
5504,3 Credit Hours.,lis,"(Slashlisted withLIS 4643) Prerequisite:LIS 5033. Introduction to the theory and application of data analytics, including various big data analytical tools and models, different forms of information, statistical understanding of, and applications to, different big data methods, and interpretation of statistics within the chosen model. No student may earn credit for both 4643 and 5643. (F)",5643,Introduction to Data Analytics,lis-5643
5506,3 Credit Hours.,lis,"(Slashlisted withLIS 4673) Prerequisite: graduate standing andLIS 5033. Information visualization is becoming key to LIS, due to the growing need for visual literacy and to the growing demand for data resources in almost all disciplines. Covers the basics of developing and evaluating information visualizations and the importance of data accuracy. (F)",5673,Introduction to Information Visualization,lis-5673
5507,3 Credit Hours.,lis,"(Slashlisted withLIS 4683) Prerequisite: graduate standing andLIS 5033. Introduction to the theory and application of database design including information storage and retrieval, data modeling, record structure, data normalization, data security, relational database models, query language, client-server systems, data warehousing and data mining. The social, technological and organizational needs in database design will be examined. No student may earn credit for both 4683 and 5683. (Sp)",5683,Database Design for Information Organizations,lis-5683
5520,3 Credit Hours.,lis,"Prerequisite: graduate standing and permission of school. A survey of quantitative, qualitative, and historical research designs. Topics covered include ethical issues; conceptualization and measurement; sampling; surveys; and data analysis. (Sp)",6713,Research Methods and Design in Information Studies,lis-6713
5549,3 Credit Hours.,lsal,"Prerequisites: Sophomore standing or permission from CLS adviser. An examination of inequality within the American educational system from K-12 to higher education utilizing demographic data and analyzing current research on inequality based upon race, class, and gender. (F, Sp, Su)",4733,Understanding Educational Inequality in the U,lsal-4733
5559,3 Credit Hours.,lsal,"Prerequisites: Graduate standing. Introduces foundational accounting principles and financial concepts for non-financial managers. Topics include analysis of financial reports, communication of financial data to organizational leaders and stakeholders, and financial planning. (F, Sp, Su)",5223,Financial Leadership,lsal-5223
5580,3 Credit Hours.,lsal,"Prerequisites: Graduate standing. An examination of best practices for using assessment results to conduct data-driven leadership and executive coaching and to maximize coaching effectiveness. (F, Sp, Su)",5553,Assessment-Based Coaching,lsal-5553
5585,3 Credit Hours.,lsal,"Prerequisite: Graduate standing. An examination of inequality within the American educational system from K-12 to higher education utilizing demographic data and analyzing current research on inequality based upon race, class, and gender. (F, Sp, Su)",5733,Overcoming Educational Inequality in the United States,lsal-5733
5592,3 Credit Hours.,lscj,"Prerequisite: junior standing or permission from CLS adviser. An introduction to the basics of social statistics, the methods and techniques which sociologists, policy analysts, and other social scientists use to summarize numeric data obtained from censuses, surveys, and experiments. (F, Sp, Su)",3063,Statistics in Criminal Justice,lscj-3063
5610,3 Credit Hours.,lscj,"Prerequisite: Junior standing or permission from academic advisor. A survey of intelligence analysis and the use of data, cyber, and human sources of information to predict, interdict, and investigate crime. Topics include understanding the role of intelligence analysis and dissemination in modern law enforcement and homeland security, crime analysis techniques, geographic information systems, cyber data gathering, and human sources of intelligence. (F, Sp, Su)",4413,Intelligence Analysis for Law Enforcement,lscj-4413
5616,3 Credit Hours.,lscj,"Prerequisite: graduate standing,LSTD 5003andLSTD 5013; or permission of dean. Introduces students to conducting and evaluating scientific research of the criminal justice system. Research methods overview the basics of research methodologies, with a focus on measurement and data collection. Statistical analysis overviews basic statistical techniques for analysis of criminal justice data, with a focus on both descriptive and inferential statistics. (F, Sp, Su)",5063,Research Methods for Criminal Justice,lscj-5063
5624,3 Credit Hours.,lscj,"Prerequisite: graduate standing,LSTD 5003, andLSCJ 5113; or permission of dean. Provides an overview of juvenile delinquency and the juvenile justice system. The course will examine the historical background of juvenile delinquency and will focus on the depth and breadth of the problem, including theoretical causes of delinquency and their association with juvenile crime, the use of juvenile justice statistics and trend data, and the efficacy of intervention and diversion programs. (F, Sp, Su)",5253,Juvenile Justice,lscj-5253
5638,3 Credit Hours.,lscj,"Prerequisite: graduate standing,LSTD 5003, andLSCJ 5113; or permission of dean. Introduction to crime analysis and the use of data to intelligently prevent and/or interdict crime.(F, Sp, Su)",5533,Crime Analysis for Intelligence-Led Policing,lscj-5533
5676,3 Credit Hours.,lsis,"Prerequisite: Graduate standing,LSIS 5403,LSIS 5423, and departmental permission. A practical application of archaeoastronomy survey fundamentals. Includes a contextual and site literature review and one-week onsite field survey led by departmental faculty. Students will engage in preliminary collaborative data interpretation and have the option to pursue a post field-school publication of their research findings. Survey site will change annually with focus on Chaco Canyon, NM outlier Great Houses. (Su)",5493,Fieldwork in Archaeoastronomy,lsis-5493
5752,3 Credit Hours.,lstd,"Analysis and criticism of the scientific method, design of experiments and collection and interpretation of data in scientific investigations. (F, Sp, Su) [II-NL].",2533,Science as a Process,lstd-2533
5800,3 Credit Hours.,lstd,"Prerequisite: graduate standing,LSTD 5003andLSTD 5013; or permission of dean. An inquiry designed to acquaint students with qualitative research methods in interdisciplinary study. By the end of the course, the student will be familiar with the most common methods and issues qualitative research. Students will learn how to design a study; how to recognize and address ethical issues; and how to analyze qualitative data. (F, Sp, Su)",5083,Qualitative Research Methods in Interdisciplinary Studies,lstd-5083
5921,3 Credit Hours.,math,"(Slashlisted with 5793) Prerequisite: 4743 or 4753 or equivalent. Survey of advanced applied statistical methods other than applied regression, including exploratory data analysis, analysis of multivariate data (principal components: analysis, multiple analysis of variance, cluster analysis, etc.), and introduction to non-parametric methods. No student may earn credit for both 4793 and 5793. (Alt. F)",4793,Advanced Applied Statistics,math-4793
5933,3 Credit Hours.,math,"Prerequisite: Graduate standing in mathematics or permission of the instructor. This course is intended for students who will be consumers of mathematics education research as well as those who will be producers of this research. The course offers an overview of the mathematics pedagogy research process and a detailed survey of selected aspects of this process. Particular topics including reviewing existing mathematics teaching research literature, designing research studies, gathering research data, analyzing research data, and reporting pedagogical research. (F)",5253,Introduction to Mathematics Pedagogy Research,math-5253
5956,3 Credit Hours.,math,"(Slashlisted with 4793) Prerequisite: 4743 or 4753 or equivalent. Survey of advanced applied statistical methods other than applied regression, including exploratory data analysis, analysis of multivariate data (principal components: analysis, multiple analysis of variance, cluster analysis, etc.), and introduction to non-parametric methods. No student may earn credit for both 4793 and 5793. (Alt. F)",5793,Advanced Applied Statistics,math-5793
5990,4 Credit Hours.,mbio,"Prerequisite: permission of instructor. Hands-on course targeted toward freshmen and sophomores; therefore there are no prerequisite courses required. The goal is to provide students with an authentic laboratory research experience building and experimentally testing hypotheses, collection and processing of data, and oral and written presentation of research results. The skills learned in this course will be beneficial during and beyond an undergraduate career. (F, Sp) [II-NS].",2124,Cornerstone Research Experience,mbio-2124
5997,3 Credit Hours.,mbio,"(Crosslisted withPBIO 3673) Prerequisite:MBIO 2815, orMBIO 3813, orPBIO 1114, orBIOL 1005, orBIOL 1114, or equivalent introductory biology course, and junior standing, or instructor permission. Study of the use of computers to analyze and interpret various types of biological data. Topics covered will include accessing genomics databases, aligning DNA and protein sequences, searching genomic databases for similar sequences, analyzing protein structure, and building molecular phylogenies. Classes will emphasize group work and in-class computer exercises in a highly interactive environment. (Sp)",3673,Practical Bioinformatics,mbio-3673
6060,3 Credit Hours.,metr,"Prerequisite: Math 1523 or equivalent, or concurrent enrollment. Introduction to the design and implementation of computer programs using the Python programming language. Emphasis on working with simple data sets. (F, Sp, Su)",1313,Introduction to Programming for Meteorology,metr-1313
6079,3 Credit Hours.,metr,"Prerequisite: Grade of C or better inMETR 2023and2021,MATH 2433,2443or2934,PHYS 1215or2524, andMETR 1313or CS 1313 or CS 1323. Introduces the physical principles of meteorological instruments, discusses static and dynamic sensor performance, and explores the concepts of meteorological instruments, and to identify sensor limitations and major error sources. Furthermore, basic procedures of data analysis will be discussed. Laboratory (F)",3613,Meteorological Measurement Systems,metr-3613
6087,3 Credit Hours.,metr,"Prerequisite: grade of C or better in Mathematics 2423 of 2924, Computer Science 1313 or 1323, or permission of instructor. Offers specialized topics in statistical meteorology such as the role of probability and statistics in decision making, interplay between experimental design and the physics of an underlying problem, sampling techniques, graphical presentation of data and model building. Emphasis will be placed on computational aspects for meteorological data. No student may earn credit for both 4313 and 5313. (F)",4313,Statistical Meteorology,metr-4313
6089,1-3 Credit Hours.,metr,"(Slashlisted with 5330) Prerequisite: grade of C or better in CS 1313 or permission of instructor. May be repeated; maximum credit three hours. The use of computers and networks to process the information of meteorology. Workstation skills, computer operating systems, programming languages, the internet, computer graphics, analysis and display of meteorological data. No student may credit for both 4330 and 5330. (Irreg.)",4330,Information Technology Skills for Meteorology,metr-4330
6099,3 Credit Hours.,metr,"(Slashlisted with 5603) Prerequisites: grade of C or better in 3613, 3213, 3113, and Math 3113 or 3413. Introduction into micrometeorological research topics with strong emphasis on instrumentation. Provides hands-on experience in micrometeorological instrumentation, data acquisition and analysis. The structure of the atmospheric boundary layer and the influence of vegetation and buildings on small-scale meteorological conditions are studied. Theoretical concepts are verified against observations from a micrometeorological tower. No student may earn credit for both 4603 and 5603. (Irreg.)",4603,Micrometeorological Measurements,metr-4603
6100,4 Credit Hours.,metr,"Prerequisite: Grade of C or better in 3223, 3613, Mathematics 3413 or 3113. Develops quantitative relationships between physical characteristics of targets illuminated by a pulse of electromagnetic energy and the quantities measured by weather radar. Capabilities and limitations of radar designs are studied relative to meteorological applications. Doppler principles, including interpretation of data, are provided. Polarimetric and phased array radar are introduced. Experience is gained in hands-on exercises with weather radars and computer based labs. (Sp)",4624,Radar Meteorology,metr-4624
6120,3 Credit Hours.,metr,"Prerequisite:METR 4133,MATH 3113orMATH 3413, or equivalent. Introduction to techniques used in objective analysis of meteorological data; polynomial fitting; method of successive corrections; weighting functions; statistical methods; optimum interpolation; filter design; four-dimensional data assimilation. (F)",5303,Objective Analysis,metr-5303
6121,3 Credit Hours.,metr,"Prerequisite: graduate standing or permission of instructor. Offers specialized topics in statistical meteorology such as the role of probability and statistics in decision making, interplay between experimental design and the physics of an underlying problem, sampling techniques, graphical presentation of data and model building. Emphasis will be placed on computational aspects for meteorological data. No student may earn credit for both 4313 and 5313. (F)",5313,Statistical Meteorology,metr-5313
6123,1-3 Credit Hours.,metr,"(Slashlisted with 4330) Prerequisite: Grade of C or better in Computer Science 1313 or permission of instructor. May be repeated; maximum credit three hours. The use of computers and networks to process the information of meteorology. Workstation skills, computer operating systems, programming languages, the Internet, computer graphics, analysis and display of meteorological data. No student may earn credit for both 4330 and 5330. (Irreg.)",5330,Information Technology Skills for Meteorology,metr-5330
6127,3 Credit Hours.,metr,"Prerequisite: 4303 or Mathematics 4753 and Computer Science 1313 or 1323, or permission of instructor. This course is designed to illustrate how to extract additional information from a data set. With the advent of high-speed, inexpensive computers, tools are now readily available to researchers for just this purpose. These tools will be introduced, described and put to use by the students during this course. Topics include an introduction to the s-plus statistical package, random samples and probability, standard errors and estimated standard errors, bootstrap estimate of standard error, the parametric bootstrap, bootstrap failure, resampling applied regression models, the jackknife, confidence intervals, permutation tests, hypothesis testing, cross-validation, adaptive estimation and assessing errors. (Irreg.)",5373,Resampling/Permutation Statistics,metr-5373
6139,3 Credit Hours.,metr,"(Slashlisted with 4603) Prerequisite: Mathematics 3113 or permission of instructor. Performance of measurement systems used to obtain meteorological observations. Includes systems for synoptic observations and special purpose systems for micro-meteorology, air pollution, etc. Effect of static, dynamic, sampling, round-off, and truncation error on data quality; comparison of analog and digital recording techniques. Laboratory (Irreg.)",5603,Micrometeorological Measurements,metr-5603
6143,3 Credit Hours.,metr,"(Crosslisted withECE 5673) Prerequisite: grade of C or better in Mathematics 3113 and Physics 2524 or permission. This course provides an introduction to electromagnetic waves and propagation through the atmosphere, radar design trade-offs, antennas, transmitters, and coherent receivers. Analysis of radar signals as noise-corrupted stochastic processes, with emphasis on digital signal processing for Doppler spectrum and moment estimation. Implementation of processing algorithms using actual Doppler radar data. (F)",5673,Weather Radar Theory and Practice,metr-5673
6153,3 Credit Hours.,metr,"Prerequisite: graduate standing or permission of instructor. Introduction to ensemble Kalman data assimilation techniques (EnKF). Students learn the most popular EnKF techniques through lectures and hands-on project assignments, and also develop skill in scientific thinking and synthesis, written and oral communication and programming throughout the course. (Irreg.)",6313,Advanced Data Assimilation Methods: Ensemble Kalman Filter Techniques and Applications,metr-6313
6214,3 Credit Hours.,mgt,"Prerequisite: graduate standing and permission of instructor. Survey of research design and methods issues. Designed to introduce the Ph.D. student to the broad range of issues from the idea creation to publishing. Topics include theory, models, designs, data, measurement, data collection, analysis, theory development to academic writing and ethical issues. (Irreg.)",6983,Research Methods and Design,mgt-6983
6216,3 Credit Hours.,mis,"Prerequisite: undergraduate major in Business, prerequisite or concurrent enrolled inB AD 1001. The course educates students on how information technology facilitates organizations to achieve its goals and solve problems. Students will learn to use latest tools of information technology, conduct hands-on-exercises and solve problems. Hence, students will become familiar with advanced use of spreadsheet and database software, networking technologies, web and application programming languages, and business analytics methods. (F, Sp, Su)",2113,Computer-Based Information Systems,mis-2113
6221,3 Credit Hours.,mis,"Prerequisite: Student must be approved for degree candidacy by Price College; majors only; or permission. As organizations depend on data for their decisions, understanding database management is crucial. This course covers the structure, flow, and use of business data with an emphasis on data integrity. It covers conceptual data modeling, normalization, structured query language (SQL), physical database design and implementation, and data warehousing concepts. A team project with phased deliverables serves as the focal point. (F, Sp)",3353,Databases,mis-3353
6230,3 Credit Hours.,mis,"Prerequisite: Student must be approved for degree candidacy by Price College; senior standing;MIS 2113orMIT 5602. Introduces students to concepts of business analytics and helps them develop skills to identify interesting insights from data. Students will be introduced to tools, techniques, and digital technologies that are relevant to business analysis and decision-making. While exploring these tools, the course will attend to applications across the different functional areas of business and organizations. (F, Sp)",4313,Introduction to Business Analytics,mis-4313
6242,2 Credit Hours.,mit,"Prerequisite: Graduate standing andMIT 5602corequisite. This course will introduce programming concepts used for business data analysis. (F, Sp)",5012,Programming Fundamentals,mit-5012
6243,2 Credit Hours.,mit,Prerequisite: graduate standing. Programming in languages used for data extraction and preparation of data for data analytics and data mining. Can be repeated with change of content; maximum credit 6 hours.,5032,Analytics Programming,mit-5032
6245,2 Credit Hours.,mit,"Prerequisite: graduate standing. This course is concerned with the design and governance of organizational data and its use. In this module, students will learn about the roles of database designers and administrators. Along the way, students will learn about the modeling techniques used by database designers to develop organizational databases and the standard language used to interface with databases. (Irreg.)",5612,Database Design and Administration,mit-5612
6246,2 Credit Hours.,mit,"Prerequisite: graduate standing andMIT 5612. System analysis and design is concerned with bringing all of a system's components together: data, software, hardware, people, procedures, etc. The student will learn about the roles of systems analysts during systems development. In particular, this course focuses on the analysis, design, implementation, and maintenance of information systems. Along the way, students will learn about the tools, techniques, and methodologies used by analysts to develop information systems in organizations. (Irreg.)",5622,Systems Analysis and Design,mit-5622
6252,2 Credit Hours.,mit,Prerequisite: MIS 5682 or instructor permission. Introduce students to analytic and visualization techniques required for processing social and social media data. (Sp),5702,Social Analytics,mit-5702
6254,2 Credit Hours.,mit,"Prerequisites: graduate standing,MIT 5602;MIT 5612orMIT 5772, or permission of instructor. This course will adopt a managerial perspective to recognizing the role of Business Intelligence and provide practical hands-on experience. Course sessions will help students understand how organizations could develop strategies to discover patterns in data and use this to compete in the global marketplace. (F, Sp)",5732,Management of Business Intelligence,mit-5732
6255,2 Credit Hours.,mit,"Prerequisite: graduate standing,MIT 5602andMIT 5612, or permission of instructor. Students will compare and experience data science tools along with the newer tools and methods of analytics, with the goal of becoming knowledgeable in both sets of tools. (Sp)",5742,Data Science and Analytics,mit-5742
6256,2 Credit Hours.,mit,"Prerequisite: graduate standing and departmental permission. Offers detailed discussion and hands-on exploration of technologies used to process, manage and store 'big data'. The ecosystem of products we will be focusing on surrounds Hadoop, including the Hadoop File System, MapReduce, and others. This course involves many labs and familiarity with SQL is helpful. Programming expertise is not required but optional materials will be provided. (F, Sp)",5752,Cloud Computing,mit-5752
6257,2 Credit Hours.,mit,Prerequisite: graduate standing;MIT 5602andMIT 5742; or permission of instructor. An in-depth study of enterprise modeling techniques using an industry standard data mining technology suite. Students will develop a conceptual understanding of the major concepts used in data analytics along with in-depth use of corresponding computer software. (Sp),5762,Enterprise Modeling,mit-5762
6258,2 Credit Hours.,mit,"Prerequisite: Departmental permission, graduate standing, andMIT 5612. This class will introduce students to concepts relating to a data warehouse (DW), considered a core component of business intelligence and data analytics in an organization. Students will learn to use current tools to develop requirements and create and maintain a DW. Students will also learn to manipulate data in the DW to extract and generate analytical reports for employees. (Irreg.)",5772,Principles of Data Warehousing,mit-5772
6260,2 Credit Hours.,mit,"Prerequisite: graduate standing,MIT 5602, or departmental permission. Students will apply project management and information systems development principles in developing an electronic health record software application to support healthcare decision-making. Students will also explore data manipulation and analytics using structured query language (SQL) and healthcare data analytics tools. (Irreg.)",5832,Healthcare Information Systems,mit-5832
6265,2-9 Credit Hours.,mit,"Prerequisite: MIS 5622 and instructor permission, graduate standing. Variable enrollment, two to nine hours; maximum credit applicable toward degree, three hours. Acquaints students with the research process. Students propose research project, and then conduct the research including but not limited to, performing a literature review, collecting and analyzing data, and writing the thesis prior to the end of the semester. (F, Sp)",5980,Research for Master's Thesis,mit-5980
6270,3 Credit Hours.,mit,"Prerequisite: Graduate Standing. Attention will be focused on research relating to interactions between Humans and Information Technology (IT) artifacts, to identify facets that make these interactions productive and enjoyable. The course goals will be to get familiar on the theory foundations that help the science of HTI, become skilled in the use of data analytics tools, and complete a limited research study. Class discussions will span a broad range of topics that include among others, the science of human-technology interactions, visualization of data, designs of visual displays, support for employee's learning of IT, and gamification of HTI interactions. (F)",6753,The Science and Analytics of Human-Technology Interactions,mit-6753
6279,3 Credit Hours.,mkt,"Prerequisite: Student must be approved for degree candidacy in the Price College of Business, 3013 or concurrent enrollment. This course provides students with an understanding or the role of marketing research in organizations and how marketing research is implemented. Students will learn the value of primary and secondary data, become familiar with methods for data collection and analysis, and understand how research errors can be reduced or avoided. The course is designed to further students' professional development by enhancing their ability to work in teams and effectively communicate facts and opinions to solve business problems. This course assumes an understanding of basic statistics and spreadsheets. (F, Sp)",3053,Marketing Research,mkt-3053
6503,2 Credit Hours.,mued,"Prerequisite: graduate standing in music or music education. Required for the Music Education Ph.D. curriculum. Course assignments review empirical research techniques applied to problems in music education. Students study research design, population sampling, statistical formulae for analyzing data, and advanced statistical techniques such as factor analysis and regression analyses. (Irreg.)",6242,Quantitative Research in Music Education,mued-6242
6849,3 Credit Hours.,npng,"Prerequisite:NPNG 2033and senior standing or permission of instructor. Intended to provide an appreciation of the contributions and limitations of program evaluation and the basic skills needed to conduct evaluations. Emphasis will be given to coping with the conceptual, methodological, organizational, political, and ethical problems that face evaluators. The various tasks facing evaluators, from developing questions to presenting data, will be discussed. (Irreg.)",4503,Program Evaluation for Nonprofits,npng-4503
6870,3 Credit Hours.,odyn,"Prerequisite: graduate standing or permission of instructor. Focuses on teaching principles and practices of individual and organizational assessment, covering concepts such as validity, reliability, survey and instrument development, and characteristics of organizational data. Techniques for analyzing organizational data and conducting program evaluation will also be discussed. (Irreg.)",5163,Applied Measurement and Analysis,odyn-5163
6881,3 Credit Hours.,odyn,"Prerequisite: 5153 or permission of instructor. Principles, theories and applications of market analysis and customer service will be reviewed; techniques for gathering, assessing, and analyzing market and customer data will be covered; techniques for improving customer service will be discussed. (Irreg.)",5333,Customer Service and Market Analysis,odyn-5333
6961,3 Credit Hours.,p_e,(Crosslisted with G E andGEOL 6283) Prerequisite: Graduate standing or permission of instructor. This course is designed to explore the seismic response of rocks and how it is related to petrophysical parameters. This understanding is key to interpretation of seismic data in terms of subsurface rocks and fluids. (F),6283,Seismic Reservoir Modeling,p_e-6283
